name,volFrac,alpha_radians,beta_radians,gamma_radians,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,Corth0,Corth1,Corth2,Corth3,Corth4,Corth5,Corth6,Corth7,Corth8,Corth9,Corth10,Corth11,Corth12,Corth13,Corth14,Corth15,Corth16,Corth17,Corth18,Corth19,Corth20,Corth21,Corth22,Corth23,Corth24,Corth25,Corth26,Corth27,Corth28,Corth29,Corth30,Corth31,Corth32,Corth33,Corth34,Corth35,contrast,spin_volFrac,spin_thetaX,spin_thetaY,spin_thetaZ,spin_Corth0,spin_Corth1,spin_Corth2,spin_Corth3,spin_Corth4,spin_Corth5,spin_Corth6,spin_Corth7,spin_Corth8,spin_Corth9,spin_Corth10,spin_Corth11,spin_Corth12,spin_Corth13,spin_Corth14,spin_Corth15,spin_Corth16,spin_Corth17,spin_Corth18,spin_Corth19,spin_Corth20,spin_Corth21,spin_Corth22,spin_Corth23,spin_Corth24,spin_Corth25,spin_Corth26,spin_Corth27,spin_Corth28,spin_Corth29,spin_Corth30,spin_Corth31,spin_Corth32,spin_Corth33,spin_Corth34,spin_Corth35,spin_C0,spin_C1,spin_C2,spin_C3,spin_C4,spin_C5,spin_C6,spin_C7,spin_C8,spin_C9,spin_C10,spin_C11,spin_C12,spin_C13,spin_C14,spin_C15,spin_C16,spin_C17,spin_C18,spin_C19,spin_C20,spin_C21,spin_C22,spin_C23,spin_C24,spin_C25,spin_C26,spin_C27,spin_C28,spin_C29,spin_C30,spin_C31,spin_C32,spin_C33,spin_C34,spin_C35,spin_Rinv11,spin_Rinv12,spin_Rinv13,spin_Rinv21,spin_Rinv22,spin_Rinv23,spin_Rinv31,spin_Rinv32,spin_Rinv33
1460_b3,0.18388,1.38041907584091,1.01449850024385,0.983524952083991,0.039210150114,0.015649613068,0.010913600374,-0.00052294339869,0.00061795559575,-0.0076040019315,0.015649613068,0.062470807408,0.015118411626,-0.0072566589129,0.0019447353914,-0.012488912681,0.010913600375,0.015118411625,0.040984516087,-0.0060905383666,-0.0010553656238,-0.002905025096,-0.00052294339877,-0.0072566589127,-0.0060905383658,0.017980956616,-0.0042057417186,0.0014790646794,0.00061795559514,0.0019447353922,-0.0010553656239,-0.0042057417188,0.012834218098,-0.0012751223225,-0.0076040019324,-0.012488912679,-0.0029050250965,0.0014790646797,-0.0012751223225,0.018775233382,0.0293853586927727,0.0087417062557436,0.0124433505200421,-0.0005626133265698,0.0004738644317624,-0.0013953057151142,0.0087417062565332,0.0407160677656041,0.0158632525236283,-7.11070422792121e-05,0.0002897998153119,-9.73523493085849e-05,0.0124433505187905,0.0158632525245258,0.0818306786873595,0.0003003554907734,-0.000346656758478,0.0002777472576649,-0.0005626133264299,-7.11070428337214e-05,0.0003003554908626,0.0200388479936311,-0.0002286936161639,0.0003469316375451,0.0004738644329567,0.0002897998142397,-0.0003466567597273,-0.0002286936155607,0.0151958612304838,-0.0007952913640387,-0.001395305715565,-9.73523486209074e-05,0.0002777472582422,0.0003469316378684,-0.0007952913638008,0.0097223831035169,1,0.2990246,54.437706,37.01146,15.001901,0.030682325,0.007699702,0.013156941,0,0,0,0.007699702,0.042447817,0.012076188,0,0,0,0.013156941,0.012076188,0.080111966,0,0,0,0,0,0,0.018695869,0,0,0,0,0,0,0.016974404,0,0,0,0,0,0,0.011509556,0.0381433224016414,0.0149911727855948,0.0106000200848604,-0.00149253381656172,0.0016619014454253,-0.00757366454494438,0.0149911727855948,0.0630302145232419,0.0124274937232069,-0.00689210915324026,0.00240455654335939,-0.0106786886178093,0.0106000200848604,0.0124274937232069,0.0418968598877924,-0.00401671737694316,-0.00112020750921204,-0.0022712052335374,-0.00149253381656172,-0.00689210915324026,-0.00401671737694316,0.0180324821425025,-0.00343498377443678,0.00172371922409664,0.0016619014454253,0.00240455654335939,-0.00112020750921204,-0.00343498377443678,0.0151653666771425,-0.00193687720576463,-0.00757366454494438,-0.0106786886178093,-0.0022712052335374,0.00172371922409664,-0.00193687720576463,0.0190678357740171,0.799012707182497,-0.410308047862737,0.439574794113548,0.518505631289432,0.0999217751436187,-0.849215843689515,0.304517001302136,0.906456256369395,0.292585801444186
1460_b4,0.13743,3.28630568456523,3.67446871008743,-0.50457142215642,0.020227774291,0.0092364402366,0.0056902193089,0.00033805491428,-0.0021227231334,0.0022757027153,0.0092364402371,0.043358195795,0.0084091256114,-0.0028401306653,-0.00092488368576,0.0035556268529,0.0056902193084,0.0084091256118,0.029425688811,-0.00014512324095,-0.0031352076187,-0.00059462490604,0.00033805491443,-0.0028401306656,-0.00014512324222,0.010274731462,-0.00046622493615,-0.0015433973526,-0.0021227231327,-0.00092488368588,-0.00313520762,-0.00046622493606,0.006661031485,-2.2730700602e-05,0.0022757027161,0.0035556268533,-0.00059462490605,-0.0015433973527,-2.2730700291e-05,0.010613014518,0.0162226473923431,0.0073263339764579,0.0079214863017067,0.0009982997163699,-0.0010542420011622,0.0003646093952646,0.0073263339765293,0.0329151957011374,0.0132607379350203,0.0035710097283284,2.24032254997826e-06,0.0009636778325532,0.0079214863023092,0.0132607379364303,0.0335282696892657,0.0041128906627531,0.0008380139099362,-0.0011498500452418,0.0009982997168841,0.0035710097281424,0.004112890663187,0.015482289039292,-0.000900015420885,-4.481149152304e-05,-0.0010542420010024,2.24032295228099e-06,0.0008380139089322,-0.0009000154206288,0.0092753880741377,0.0011884100678874,0.0003646093943833,0.0009636778324419,-0.0011498500444417,-4.4811492068012e-05,0.0011884100682509,0.0079638734086972,1,0.26965714,72.62511,29.530836,29.420044,0.02898793,0.007173855,0.007850764,0,0,0,0.007173855,0.035008315,0.007922011,0,0,0,0.007850764,0.007922011,0.037179045,0,0,0,0,0,0,0.0120655,0,0,0,0,0,0,0.01179225,0,0,0,0,0,0,0.010606143,0.0299264325759354,0.0076458774741797,0.00807332372343255,-0.000408997097952273,-0.000935706690277517,0.000671181936192942,0.0076458774741797,0.0338663598660026,0.009232865243221,0.000552924211194561,-0.00066010175841313,0.000391253454298759,0.00807332372343255,0.009232865243221,0.0333716246763955,-0.000921257499254503,-0.00157353767049147,0.000222195945263896,-0.000408997097952272,0.000552924211194561,-0.000921257499254503,0.0132502822690572,0.000352534765886403,-0.000895425542869735,-0.000935706690277516,-0.000660101758413129,-0.00157353767049147,0.000352534765886402,0.0118865141884875,-0.000593649457494888,0.000671181936192942,0.00039125345429876,0.000222195945263896,-0.000895425542869735,-0.000593649457494888,0.0113325329832885,-0.901647790715908,-0.116785242454068,0.41640421304553,0.124213899162129,0.852346158890209,0.508012728856321,-0.414248921244297,0.509771745558785,-0.754009680758733
1461_b1,0.18273,1.58221803277938,1.25345110198765,1.3541857562848,0.036512288643,0.0116665881,0.0098941408782,0.00058457469452,0.00045824432041,-0.0043496464271,0.0116665881,0.059103350345,0.015349306731,-0.001439356889,-0.00041013368669,-0.0065148112256,0.0098941408785,0.015349306732,0.037440506419,-0.0012084380931,-0.0006434744401,-0.00086587564677,0.00058457469429,-0.0014393568877,-0.0012084380931,0.017632885888,-0.0014890483172,-0.00062429354113,0.00045824432065,-0.00041013368652,-0.00064347443997,-0.0014890483176,0.010825006499,0.00060666201076,-0.0043496464287,-0.0065148112254,-0.0008658756472,-0.00062429354142,0.00060666201081,0.014469373267,0.0324250486637052,0.0096832547339797,0.0116207151780626,-0.0007236857699274,0.0021995555509219,0.0001627089415977,0.0096832547344774,0.0373877150171613,0.0156358743930986,0.0004342857772875,-0.0004794528422668,0.0006696508351065,0.0116207151785566,0.0156358743926254,0.063183764535033,-7.23556721234421e-05,-0.0004675579867315,-0.000165611183414,-0.0007236857704435,0.000434285777405,-7.23556728512511e-05,0.0182540655675985,-0.0004061029768435,-0.0004307550639003,0.002199555552349,-0.000479452841608,-0.0004675579872796,-0.0004061029774191,0.0143041295285976,-0.0009666577180138,0.0001627089418415,0.0006696508352588,-0.0001656111825538,-0.0004307550635694,-0.0009666577178988,0.0103988791533542,1,0.29251084,61.77907,45.88765,18.273312,0.03472718,0.007915918,0.012242934,0,0,0,0.007915918,0.040484454,0.011350123,0,0,0,0.012242934,0.011350123,0.064039096,0,0,0,0,0,0,0.016963385,0,0,0,0,0,0,0.01698973,0,0,0,0,0,0,0.01175262,0.0366349817356608,0.0127109227017491,0.00882878035064026,-0.000105116734274995,0.000789356108212834,-0.00353499979640969,0.0127109227017491,0.060629293843441,0.0111034310997793,-0.00109191528026353,0.000385172260517815,-0.00498131313313807,0.00882878035064026,0.0111034310997793,0.0397181361165609,-0.000906318758484557,-0.00157394811958774,-0.000960965609242964,-0.000105116734274995,-0.00109191528026353,-0.000906318758484557,0.0165076340640508,-0.00147464769820939,0.000231124524074989,0.000789356108212835,0.000385172260517815,-0.00157394811958774,-0.00147464769820939,0.0128384591878532,-0.000221321031394719,-0.00353499979640969,-0.00498131313313807,-0.000960965609242964,0.000231124524074989,-0.00022132103139472,0.0174938009002647,0.925350317297551,-0.225504198701352,0.304753419415406,0.312025094650259,-0.00356401387380376,-0.950067175579498,0.215330282556397,0.974235676914559,0.067065007574843
1461_b2,0.22791,0.139759625843431,0.529596904196226,0.708387826837883,0.079796778667,0.021691914103,0.022954481272,-0.0021828149353,0.0059920915668,-0.0075183763303,0.021691914103,0.059737194473,0.02302742753,-0.0081833068188,0.0029344914364,-0.0055172997898,0.022954481272,0.023027427532,0.078082104933,-0.013426336749,0.0042990995592,-0.003377071609,-0.0021828149346,-0.0081833068198,-0.01342633675,0.024527558489,-0.0035442902,0.0036440640114,0.0059920915661,0.0029344914355,0.0042990995593,-0.0035442902007,0.026155222198,-0.0040038044216,-0.0075183763306,-0.0055172997896,-0.0033770716085,0.0036440640116,-0.0040038044215,0.024318508204,0.0669591963401456,0.0180161354504282,0.0268102165187086,0.0008422002880779,0.0004705739697344,-0.0006703369935398,0.0180161354484994,0.0491300875605444,0.020052860841622,-0.0002541230779594,0.0008299336316029,0.001698190645081,0.0268102165182926,0.0200528608419165,0.107116014364843,-0.0004019492326911,-0.000881212468433,-0.0006839964922889,0.000842200288337,-0.0002541230782021,-0.000401949232111,0.0224130963411283,0.0003267198126533,0.0008741246121927,0.0004705739694061,0.0008299336299361,-0.0008812124680022,0.0003267198131534,0.0311823640891972,0.0008699284377425,-0.000670336993678,0.001698190644873,-0.0006839964922065,0.0008741246123602,0.0008699284369974,0.0186112183644082,1,0.33716774,36.296894,65.47923,0,0.06487655,0.014262065,0.021664662,0,0,0,0.014262065,0.048784386,0.02057347,0,0,0,0.021664662,0.02057347,0.11371888,0,0,0,0,0,0,0.027348235,0,0,0,0,0,0,0.030406624,0,0,0,0,0,0,0.018720943,0.0762642933118264,0.0189277124992867,0.0221699676586204,-0.00351597014806417,0.00704922448666461,-0.00832117696458849,0.0189277124992867,0.0632006582968851,0.0202012283426074,-0.0100961127612889,0.00321361638534817,-0.00799714491332879,0.0221699676586204,0.0202012283426074,0.0783174413902593,-0.0115584442443044,0.00825670014375526,-0.00255224897553189,-0.00351597014806417,-0.010096112761289,-0.0115584442443044,0.0263408168182115,-0.00357848227498802,0.00386248120310354,0.0070492244866646,0.00321361638534817,0.00825670014375527,-0.00357848227498802,0.0297904010819935,-0.00507378067324585,-0.00832117696458848,-0.00799714491332879,-0.00255224897553189,0.00386248120310354,-0.00507378067324585,0.0251432956003095,0.797793765563164,0.219684198337914,0.561483713592101,0.120221792724829,0.854596000953408,-0.505185506233573,-0.590823009185134,0.470536425959852,0.655380533478339
1461_b3,0.14297,1.66242158538484,0.726413713572369,0.771839368645169,0.02885173085,0.0075061006456,0.007010530117,-0.0010639257977,-0.00046297863964,-0.004980073205,0.0075061006464,0.022083798561,0.0088979503149,-0.0052331500425,0.000840828493,-0.004824024881,0.0070105301178,0.0088979503165,0.02549231834,-0.0074812992574,-0.00038287630899,-0.001677455576,-0.0010639257981,-0.0052331500437,-0.0074812992575,0.0095176244396,-0.0015964568838,0.00071969449233,-0.00046297863945,0.0008408284934,-0.00038287630963,-0.0015964568838,0.008514141831,-0.0017422806119,-0.0049800732049,-0.00482402488,-0.001677455576,0.00071969449265,-0.0017422806117,0.0088129347957,0.0110568642184551,0.0048844388179606,0.0063540833578597,-0.0006419772656254,-0.000399812773182,-0.0002184878764804,0.0048844388184848,0.0267243530344612,0.0109474563257845,-0.0003698243564091,0.0003421266177764,-0.0001397174077932,0.0063540833580696,0.0109474563258955,0.0411038356522289,0.0012107119690893,-0.0001103468250272,0.0005209115885256,-0.0006419772640892,-0.0003698243563111,0.0012107119702002,0.0128027237791535,-8.16434015101585e-06,0.0005034826761877,-0.0003998127727741,0.0003421266175804,-0.0001103468244397,-8.16433963643385e-06,0.0070810747781067,-0.0005578876480584,-0.0002184878768009,-0.0001397174078071,0.000520911588817,0.0005034826764399,-0.0005578876476932,0.0057322999319671,1,0.25716352,61.923813,28.96521,15.001901,0.017163023,0.004055146,0.0063797813,0,0,0,0.004055146,0.027747925,0.006410666,0,0,0,0.0063797813,0.006410666,0.040755853,0,0,0,0,0,0,0.010118082,0,0,0,0,0,0,0.009120382,0,0,0,0,0,0,0.0067320354,0.0260101159203436,0.00672882082284025,0.00798044844591581,-0.00162141594025764,-0.000167133075525096,-0.00339638772377939,0.00672882082284025,0.0254421016660191,0.00692386735867456,-0.0040692437314764,0.00168434210897049,-0.00385209379409268,0.00798044844591581,0.00692386735867456,0.0246394967587761,-0.00401507521175223,0.000506206571751205,-0.00118857353577972,-0.00162141594025764,-0.0040692437314764,-0.00401507521175223,0.00979855508568752,-0.00149545379797538,0.00149637659711658,-0.000167133075525096,0.00168434210897049,0.000506206571751205,-0.00149545379797538,0.011228722038797,-0.00203115126393155,-0.00339638772377939,-0.00385209379409268,-0.00118857353577972,0.00149637659711659,-0.00203115126393155,0.0097307656029461,0.3957317635544,-0.756008516781585,0.521389963336303,0.744425427057778,-0.0683996888847346,-0.664192943436105,0.537798433303751,0.650978190966624,0.535724033455521
1461_b4,0.20362,-0.148560656095526,0.654407366210702,0.339028866334612,0.059687057033,0.011602681857,0.01476338383,-0.00024168220753,-0.0039613731303,-0.0035642146548,0.011602681859,0.038167446922,0.011337496933,-0.0007005882664,-0.00045420100913,-0.0038432957198,0.01476338383,0.011337496934,0.042150073145,-0.0037974425791,-0.0063816507557,0.00022681571796,-0.00024168220711,-0.00070058826686,-0.003797442581,0.013779607929,-0.00031993621524,-0.00093245892653,-0.0039613731302,-0.00045420100918,-0.0063816507568,-0.00031993621561,0.018055493709,-0.00083994129026,-0.0035642146552,-0.0038432957191,0.00022681571787,-0.00093245892667,-0.0008399412902,0.014844135034,0.0635536017095184,0.0123226035973721,0.0159132999740389,0.0012742776844716,3.15426910504126e-05,0.0007432923197588,0.0123226035976895,0.0318734624756025,0.0102218413886473,-0.0012199357897754,0.0015720389110042,-0.000738016668674,0.0159132999746148,0.0102218413901476,0.0430691482353688,-0.0005573089730049,-0.0005971328511263,-0.0003936959178094,0.0012742776833127,-0.0012199357892837,-0.000557308973544,0.0123974564418067,-0.0004351866659008,0.0017072310773416,3.15426914499674e-05,0.0015720389092551,-0.000597132851526,-0.0004351866659507,0.0200405238466217,0.0010205508819192,0.0007432923195343,-0.0007380166694822,-0.0003936959171521,0.0017072310771798,0.0010205508812447,0.0149954387233267,1,0.29597688,0,68.23964,41.67239,0.070376866,0.011769146,0.012662163,0,0,0,0.011769146,0.032191683,0.007944632,0,0,0,0.012662163,0.007944632,0.040341925,0,0,0,0,0,0,0.011814922,0,0,0,0,0,0,0.01888378,0,0,0,0,0,0,0.01760424,0.0624316095967313,0.0118315761842119,0.0132340348154219,2.51435818931007e-05,-0.00759070142554011,-0.00288007881928806,0.0118315761842119,0.0334736388536437,0.0105424788036611,-0.000530361405288055,-0.000779405870236766,-0.00220826425088669,0.0132340348154219,0.0105424788036611,0.0405409279430352,-0.00152829069016014,-0.00587356848314578,-0.000912351737543642,2.51435818930996e-05,-0.000530361405288055,-0.00152829069016014,0.0148210493211946,-0.00122370286248486,-0.00158158572938453,-0.00759070142554011,-0.000779405870236766,-0.00587356848314578,-0.00122370286248486,0.0192800162975785,-3.66144605598428e-05,-0.00288007881928806,-0.00220826425088669,-0.000912351737543641,-0.00158158572938453,-3.66144605598432e-05,0.0174340251845218,0.902727194595056,0.339792343998667,0.263865069871767,-0.117436241689379,0.784669515502187,-0.60868914938533,-0.413874789370426,0.518492926086224,0.748246446247579
1462_b1,0.28249,1.50597143118213,1.08000468834612,1.01107059188749,0.11351719157,0.03607840851,0.03644736892,0.0047153915169,-0.0013804007088,-0.0078165251583,0.03607840851,0.12022082575,0.044919819708,-0.0018065276067,0.001130271258,-0.0096274523761,0.036447368919,0.044919819708,0.12320007421,-0.0071742063068,-0.0075420909363,0.0014663677861,0.004715391517,-0.0018065276066,-0.0071742063069,0.048714085271,-0.0012725171468,-0.00048509958913,-0.0013804007086,0.0011302712581,-0.0075420909348,-0.0012725171471,0.038071114412,0.0037323161942,-0.0078165251588,-0.0096274523784,0.0014663677854,-0.00048509958919,0.0037323161934,0.038410831496,0.10736613550303,0.0332663795808903,0.0335229966025177,-0.0046454189117142,0.0012623579410412,0.0033312744560154,0.0332663795795196,0.129098792802221,0.0447192205676043,0.0015500258580791,4.42802079875611e-05,0.0010385407994052,0.0335229966048214,0.044719220568179,0.132347163996217,0.0012437959541509,0.0005471791167991,0.0001878770492505,-0.0046454189127264,0.0015500258586344,0.001243795953004,0.0512156806364086,0.0001013970106503,0.0003253042926952,0.0012623579413675,4.4280208857738e-05,0.0005471791181852,0.0001013970107312,0.0348032120948669,-0.0051983016493032,0.0033312744563787,0.0010385407998563,0.0001878770493236,0.0003253042930314,-0.0051983016498304,0.0332401380619906,1,0.39395267,67.98638,33.895752,32.950855,0.11155134,0.034214243,0.035364673,0,0,0,0.034214243,0.12816101,0.03494839,0,0,0,0.035364673,0.03494839,0.13047126,0,0,0,0,0,0,0.04288864,0,0,0,0,0,0,0.041604117,0,0,0,0,0,0,0.040689312,0.116107374206911,0.0358092399942079,0.0361020014730551,-0.000569815058332219,-0.00167484534745874,-0.00267724368679763,0.0358092399942079,0.125430372616025,0.0351937232956326,-0.00231759740129332,0.000636396875329084,-0.00384694532344275,0.0361020014730551,0.0351937232956326,0.123490545651273,-0.00101738139861521,-0.00382596952836812,-0.000637085094629544,-0.000569815058332219,-0.00231759740129332,-0.00101738139861521,0.0425060521086024,-0.00117820284053657,6.5601979549187e-05,-0.00167484534745874,0.000636396875329082,-0.00382596952836812,-0.00117820284053657,0.0429009698346535,-0.000847709940284908,-0.00267724368679763,-0.00384694532344276,-0.000637085094629542,6.56019795491854e-05,-0.000847709940284906,0.0423527058196398,0.780198734632121,-0.481424101142937,0.399400512414733,0.470334260844998,0.0305321494309681,-0.881960016625762,0.412402252120215,0.875955833755241,0.250251393115671
1462_b2,0.32346,0.964999349163695,0.373987192311546,-0.110965295484511,0.13665306561,0.040688469573,0.047518964225,-0.0021828034192,-0.0089382505197,-0.013381594938,0.04068846957,0.11757722131,0.047468041929,-0.017362395782,0.00027027736127,-0.013650105982,0.047518964226,0.047468041929,0.18824711714,-0.021192569926,-0.012819917626,-0.0050437216022,-0.0021828034189,-0.017362395783,-0.021192569925,0.05348283055,-0.0058804575696,-0.0012568719246,-0.0089382505188,0.00027027736105,-0.012819917626,-0.0058804575698,0.052669419579,-0.0056480227354,-0.01338159494,-0.013650105982,-0.0050437216013,-0.0012568719244,-0.0056480227347,0.042629079759,0.0857520197078868,0.0393452101740527,0.0392283783383353,0.0006712896859739,-0.0004381706054026,-0.000642123248761,0.0393452101760294,0.154564753718263,0.0541023940874498,0.0002782259586735,0.0004418032266807,-0.0012041481572491,0.0392283783378859,0.0541023940879605,0.208159616884137,-0.0003868660888284,0.0003914264740407,0.0018799502388688,0.0006712896863613,0.0002782259578771,-0.0003868660882379,0.0622661444102298,0.0021013747678969,-0.0008995017165904,-0.0004381706063254,0.000441803228753,0.0003914264747378,0.0021013747678238,0.0443288253264628,0.0003812488716826,-0.0006421232500855,-0.0012041481573692,0.0018799502385595,-0.0008995017165216,0.0003812488729202,0.0391868670261642,1,0.42004186,63.57772,21.461725,0,0.0905092,0.03486014,0.044565387,0,0,0,0.03486014,0.15145041,0.046908434,0,0,0,0.044565387,0.046908434,0.20561074,0,0,0,0,0,0,0.058483034,0,0,0,0,0,0,0.05048283,0,0,0,0,0,0,0.03967341,0.131788337561857,0.0394371422439578,0.0447168081556836,-0.00356810168808537,-0.00811919662498134,-0.012850659634987,0.0394371422439578,0.119270437337899,0.0459777728175853,-0.0166732169358067,-0.00262924019942711,-0.00988730682771047,0.0447168081556836,0.0459777728175853,0.18891605066579,-0.0188519987770329,-0.00752899328797642,-0.0006518598165858,-0.00356810168808537,-0.0166732169358067,-0.0188519987770329,0.0534885610454663,-0.00291616163238631,-0.00382394683173511,-0.00811919662498134,-0.00262924019942712,-0.00752899328797641,-0.00291616163238632,0.0537995564024111,-0.00550635412481696,-0.012850659634987,-0.00988730682771048,-0.000651859816585801,-0.0038239468317351,-0.00550635412481696,0.0451489187693493,0.532658673860999,-0.840028909141235,-0.103083310810377,0.765226995202937,0.530058202656332,-0.365329916116136,0.361527845363709,0.115714016453176,0.925152897321815
1462_b3,0.25357,0.559696454306696,0.143179967183854,1.6084958082807,0.13737223557,0.027577405084,0.03179189451,-0.0059842773767,-0.0053642758949,-0.0079983485279,0.027577405084,0.058258029852,0.02613678662,-0.01136760452,0.001504605663,-0.0041817448782,0.031791894509,0.026136786619,0.086364595673,-0.020496012654,-0.0034922207195,-0.0023723047539,-0.0059842773774,-0.011367604522,-0.020496012653,0.025077655167,-0.0023391819616,0.00061484944786,-0.0053642758954,0.0015046056626,-0.0034922207195,-0.0023391819603,0.035638571374,-0.0089547712526,-0.0079983485287,-0.0041817448779,-0.0023723047542,0.00061484944738,-0.0089547712521,0.030697764663,0.112057887802295,0.0204495204905694,0.0366364255268503,-0.0004716764075766,-0.0011778392891524,-0.0017121183549494,0.020449520490088,0.0417194605888344,0.0225044718155644,7.70000062316895e-05,0.0002043646465819,0.0029059389981094,0.0366364255269493,0.0225044718167353,0.140048849463114,2.81076403376801e-05,0.0005382558838425,0.0004941167409977,-0.0004716764079331,7.70000064980121e-05,2.81076395565005e-05,0.0230970591634125,0.0015852850347895,0.0009040246523003,-0.0011778392877938,0.0002043646455639,0.0005382558835811,0.0015852850354005,0.0429298569247709,8.19618623317337e-05,-0.0017121183556896,0.0029059390001332,0.0004941167417949,0.0009040246521817,8.19618614826926e-05,0.019471406736195,1,0.36062828,17.29183,54.37633,15.001901,0.11984082,0.020002397,0.027510377,0,0,0,0.020002397,0.043954518,0.021605775,0,0,0,0.027510377,0.021605775,0.13004474,0,0,0,0,0,0,0.02669137,0,0,0,0,0,0,0.03886591,0,0,0,0,0,0,0.025341827,0.127776576905652,0.0237046378522584,0.0258003510520395,-0.00247501836928598,-0.00313614134157707,-0.00700231526721722,0.0237046378522584,0.0617413811216136,0.0246086505869497,-0.0145593774208755,-0.000522520154850315,-0.00382730203804067,0.0258003510520395,0.0246086505869497,0.0943319389902389,-0.0189868548026621,-0.00283631725436617,-0.000498893587551697,-0.00247501836928598,-0.0145593774208755,-0.0189868548026621,0.0300669359968527,-0.00120375109062799,-0.00097765104510452,-0.00313614134157707,-0.000522520154850315,-0.00283631725436617,-0.00120375109062799,0.0353019719802663,-0.00524250942771337,-0.00700231526721722,-0.00382730203804067,-0.000498893587551697,-0.000977651045104521,-0.00524250942771337,0.0305252895141287,0.0437655075493435,0.140843988612742,0.989063977314209,0.525496128000468,0.838744910147964,-0.142691258167413,-0.849669582723463,0.525994245759911,-0.0373048739710837
1462_b4,0.26131,3.01035193171079,2.16471252378456,2.66926581339339,0.12100376092,0.027688665042,0.031931844125,0.0010951335427,0.0097163276304,-0.0049275405521,0.027688665042,0.073091503685,0.024774507666,0.0053748438582,0.0007598350351,-0.0051585204925,0.031931844124,0.024774507666,0.083514177765,0.0030262191193,0.0079811541013,0.0014700160352,0.0010951335427,0.0053748438596,0.0030262191198,0.026230759442,-0.00033074797346,0.0024233558043,0.0097163276318,0.0007598350351,0.0079811541006,-0.00033074797321,0.036102737636,0.0023530665286,-0.0049275405507,-0.005158520493,0.0014700160348,0.0024233558048,0.0023530665287,0.030823548183,0.129481460206943,0.0316228459792397,0.0270292012308527,0.0004210560050784,-0.0004964063494828,0.0006363354816579,0.0316228459781017,0.0839300991783194,0.0261100366189731,-0.0019690904577371,-0.0005187936176261,-0.0004542140748304,0.0270292012309517,0.0261100366171546,0.0634637489944637,0.000631943283569,0.0008039718964811,-0.0006471063375872,0.0004210560045894,-0.0019690904576949,0.0006319432827716,0.026511839065577,-0.0007231053049169,0.0005847690365934,-0.000496406349891,-0.0005187936186761,0.0008039718967829,-0.0007231053050062,0.0294306735127705,-0.0001476693348204,0.0006363354830532,-0.0004542140752905,-0.0006471063380587,0.0005847690360954,-0.0001476693354286,0.0375815996777892,1,0.3630271,0,37.79656,69.64534,0.12765849,0.026875813,0.028535744,0,0,0,0.026875813,0.08342536,0.022438308,0,0,0,0.028535744,0.022438308,0.07267464,0,0,0,0,0,0,0.027118027,0,0,0,0,0,0,0.035105154,0,0,0,0,0,0,0.035092436,0.12001916155769,0.0273158879588883,0.0285519150601108,-0.000638858167416663,0.00946068254481381,-0.00181442746287441,0.0273158879588883,0.0756584977575187,0.0237911442232019,0.00148231906310491,0.00178613961315178,-0.00234883053789955,0.0285519150601108,0.0237911442232019,0.0844626662003892,0.00160453837905732,0.00653746872564985,-0.00119085904523048,-0.000638858167416666,0.00148231906310491,0.00160453837905732,0.0288252061032488,-0.00166742803362455,0.00261955005945668,0.00946068254481382,0.00178613961315178,0.00653746872564985,-0.00166742803362455,0.0362425551287359,-7.60949455498512e-06,-0.00181442746287441,-0.00234883053789955,-0.00119085904523048,0.00261955005945668,-7.60949455498601e-06,0.0340569380102163,0.932196353383731,-0.257271504690513,-0.254600337023252,-0.0732330827496628,0.554798384757475,-0.828755493412549,0.354467028549984,0.791208016355229,0.498340245741972
